probka;y_real;y_model;u_input;error
468;18.5000;18.0507;22.0000;0.4493
469;18.5000;18.0617;22.0000;0.4383
470;18.5000;18.0727;22.0000;0.4273
471;18.5000;18.0837;22.0000;0.4163
472;18.5000;18.0947;22.0000;0.4053
473;18.5000;18.1057;22.0000;0.3943
474;18.6000;18.1167;22.0000;0.4833
475;18.6000;18.1277;22.0000;0.4723
476;18.6000;18.1386;22.0000;0.4614
477;18.6000;18.1496;22.0000;0.4504
478;18.6000;18.1605;22.0000;0.4395
479;18.6000;18.1715;22.0000;0.4285
480;18.6000;18.1824;22.0000;0.4176
481;18.6000;18.1933;22.0000;0.4067
482;18.7000;18.2042;22.0000;0.4958
483;18.7000;18.2151;22.0000;0.4849
484;18.7000;18.2260;22.0000;0.4740
485;18.7000;18.2369;22.0000;0.4631
486;18.7000;18.2478;22.0000;0.4522
487;18.7000;18.2587;22.0000;0.4413
488;18.7000;18.2696;22.0000;0.4304
489;18.9000;18.2804;22.0000;0.6196
490;18.9000;18.2913;22.0000;0.6087
491;18.9000;18.3021;22.0000;0.5979
492;18.9000;18.3129;22.0000;0.5871
493;19.0000;18.3237;22.0000;0.6763
494;19.0000;18.3346;22.0000;0.6654
495;19.0000;18.3454;22.0000;0.6546
496;19.0000;18.3562;22.0000;0.6438
497;19.0000;18.3670;22.0000;0.6330
498;19.0000;18.3777;22.0000;0.6223
499;19.0000;18.3885;22.0000;0.6115
500;19.0000;18.3993;22.0000;0.6007
501;19.1000;18.4100;22.0000;0.6900
502;19.1000;18.4208;22.0000;0.6792
503;19.1000;18.4315;22.0000;0.6685
504;19.1000;18.4422;22.0000;0.6578
505;19.1000;18.4530;22.0000;0.6470
506;19.1000;18.4637;22.0000;0.6363
507;19.1000;18.4744;22.0000;0.6256
508;19.1000;18.4851;22.0000;0.6149
509;19.2000;18.4958;22.0000;0.7042
510;19.2000;18.5065;22.0000;0.6935
511;19.2000;18.5171;22.0000;0.6829
512;19.2000;18.5278;22.0000;0.6722
513;19.2000;18.5385;22.0000;0.6615
514;19.2000;18.5491;22.0000;0.6509
515;19.2000;18.5598;22.0000;0.6402
516;19.2000;18.5704;22.0000;0.6296
517;19.3000;18.5810;22.0000;0.7190
518;19.3000;18.5916;22.0000;0.7084
519;19.3000;18.6022;22.0000;0.6978
520;19.3000;18.6128;22.0000;0.6872
521;19.3000;18.6234;22.0000;0.6766
522;19.3000;18.6340;22.0000;0.6660
523;19.3000;18.6446;22.0000;0.6554
524;19.3000;18.6552;22.0000;0.6448
525;19.3000;18.6657;22.0000;0.6343
526;19.3000;18.6763;22.0000;0.6237
527;19.4000;18.6868;22.0000;0.7132
528;19.4000;18.6974;22.0000;0.7026
529;19.4000;18.7079;22.0000;0.6921
530;19.4000;18.7184;22.0000;0.6816
531;19.4000;18.7289;22.0000;0.6711
532;19.4000;18.7394;22.0000;0.6606
533;19.4000;18.7499;22.0000;0.6501
534;19.4000;18.7604;22.0000;0.6396
535;19.5000;18.7709;22.0000;0.7291
536;19.5000;18.7814;22.0000;0.7186
537;19.5000;18.7919;22.0000;0.7081
538;19.6000;18.8023;22.0000;0.7977
539;19.6000;18.8128;22.0000;0.7872
540;19.6000;18.8232;22.0000;0.7768
541;19.6000;18.8336;22.0000;0.7664
542;19.6000;18.8441;22.0000;0.7559
543;19.6000;18.8545;22.0000;0.7455
544;19.6000;18.8649;22.0000;0.7351
545;19.6000;18.8753;22.0000;0.7247
546;19.6000;18.8857;22.0000;0.7143
547;19.6000;18.8961;22.0000;0.7039
548;19.7000;18.9064;22.0000;0.7936
549;19.7000;18.9168;22.0000;0.7832
550;19.7000;18.9272;22.0000;0.7728
551;19.7000;18.9375;22.0000;0.7625
552;19.7000;18.9479;22.0000;0.7521
553;19.7000;18.9582;22.0000;0.7418
554;19.7000;18.9685;22.0000;0.7315
555;19.7000;18.9789;22.0000;0.7211
556;19.8000;18.9892;22.0000;0.8108
557;19.8000;18.9995;22.0000;0.8005
558;19.8000;19.0098;22.0000;0.7902
559;19.8000;19.0201;22.0000;0.7799
560;19.8000;19.0304;22.0000;0.7696
561;19.8000;19.0406;22.0000;0.7594
562;19.8000;19.0509;22.0000;0.7491
563;19.8000;19.0612;22.0000;0.7388
564;19.9000;19.0714;22.0000;0.8286
565;19.9000;19.0817;22.0000;0.8183
566;19.9000;19.0919;22.0000;0.8081
567;19.9000;19.1021;22.0000;0.7979
568;19.9000;19.1124;22.0000;0.7876
569;19.9000;19.1226;22.0000;0.7774
570;19.9000;19.1328;22.0000;0.7672
571;19.9000;19.1430;22.0000;0.7570
572;20.0000;19.1532;22.0000;0.8468
573;20.0000;19.1633;22.0000;0.8367
574;20.0000;19.1735;22.0000;0.8265
575;20.0000;19.1837;22.0000;0.8163
576;20.0000;19.1938;22.0000;0.8062
577;20.0000;19.2040;22.0000;0.7960
578;20.0000;19.2141;22.0000;0.7859
579;20.0000;19.2243;22.0000;0.7757
580;20.0000;19.2344;22.0000;0.7656
581;20.1000;19.2445;22.0000;0.8555
582;20.1000;19.2546;22.0000;0.8454
583;20.1000;19.2647;22.0000;0.8353
584;20.1000;19.2748;22.0000;0.8252
585;20.2000;19.2849;22.0000;0.9151
586;20.2000;19.2950;22.0000;0.9050
587;20.2000;19.3051;22.0000;0.8949
588;20.2000;19.3151;22.0000;0.8849
589;20.2000;19.3252;22.0000;0.8748
590;20.2000;19.3353;22.0000;0.8647
591;20.2000;19.3453;22.0000;0.8547
592;20.2000;19.3553;22.0000;0.8447
593;20.3000;19.3654;22.0000;0.9346
594;20.3000;19.3754;22.0000;0.9246
595;20.3000;19.3854;22.0000;0.9146
596;20.3000;19.3954;22.0000;0.9046
597;20.3000;19.4054;22.0000;0.8946
598;20.3000;19.4154;22.0000;0.8846
599;20.3000;19.4254;22.0000;0.8746
600;20.3000;19.4353;22.0000;0.8647
601;20.3000;19.4453;22.0000;0.8547
602;20.4000;19.4553;22.0000;0.9447
603;20.4000;19.4652;22.0000;0.9348
604;20.4000;19.4752;22.0000;0.9248
605;20.4000;19.4851;22.0000;0.9149
606;20.4000;19.4950;22.0000;0.9050
607;20.4000;19.5050;22.0000;0.8950
608;20.4000;19.5149;11.0000;0.8851
609;20.4000;19.5124;11.0000;0.8876
610;20.4000;19.5099;11.0000;0.8901
611;20.4000;19.5074;11.0000;0.8926
612;20.4000;19.5050;11.0000;0.8950
613;20.5000;19.5025;11.0000;0.9975
614;20.5000;19.5000;11.0000;1.0000
615;20.5000;19.4976;11.0000;1.0024
616;20.5000;19.4951;11.0000;1.0049
