time	Czujnik	data	temperature [°C]	u	time	Czujnik	data	temperature [°C]	ON/OFF
12:33:12	CRT	121	12,1	1	12:33:12	HRT	158	15,8	22
12:33:12	CRT	121	12,1	1	12:33:12	HRT	159	15,9	22
12:33:13	CRT	121	12,1	1	12:33:13	HRT	159	15,9	22
12:33:14	CRT	121	12,1	1	12:33:14	HRT	159	15,9	22
12:33:14	CRT	121	12,1	1	12:33:14	HRT	159	15,9	22
12:33:15	CRT	121	12,1	1	12:33:15	HRT	159	15,9	22
12:33:16	CRT	121	12,1	1	12:33:16	HRT	160	16	22
12:33:16	CRT	121	12,1	1	12:33:16	HRT	160	16	22
12:33:17	CRT	121	12,1	1	12:33:17	HRT	160	16	22
12:33:18	CRT	121	12,1	1	12:33:18	HRT	160	16	22
12:33:18	CRT	121	12,1	1	12:33:18	HRT	160	16	22
12:33:19	CRT	121	12,1	1	12:33:19	HRT	160	16	22
12:33:20	CRT	121	12,1	1	12:33:20	HRT	160	16	22
12:33:20	CRT	121	12,1	1	12:33:20	HRT	160	16	22
12:33:21	CRT	121	12,1	1	12:33:21	HRT	161	16,1	22
12:33:21	CRT	121	12,1	1	12:33:21	HRT	161	16,1	22
12:33:22	CRT	121	12,1	1	12:33:22	HRT	161	16,1	22
12:33:23	CRT	121	12,1	1	12:33:23	HRT	162	16,2	22
12:33:23	CRT	121	12,1	1	12:33:23	HRT	162	16,2	22
12:33:24	CRT	121	12,1	1	12:33:24	HRT	162	16,2	22
12:33:25	CRT	121	12,1	1	12:33:25	HRT	162	16,2	22
12:33:25	CRT	121	12,1	1	12:33:25	HRT	162	16,2	22
12:33:26	CRT	121	12,1	1	12:33:26	HRT	163	16,3	22
12:33:27	CRT	121	12,1	1	12:33:27	HRT	163	16,3	22
12:33:27	CRT	121	12,1	1	12:33:27	HRT	163	16,3	22
12:33:28	CRT	121	12,1	1	12:33:28	HRT	163	16,3	22
12:33:29	CRT	121	12,1	1	12:33:29	HRT	163	16,3	22
